,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
34,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,UFS (f-regression),40,141385.223,0.934,0.87
35,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,UFS (f-regression),40,141385.223,0.934,0.87
36,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,Remove high corr,42,143459.804,0.911,0.866
37,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,Remove high corr,42,143459.804,0.911,0.866
38,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,Remove high corr,42,143459.804,0.911,0.866
39,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",-,-,47,143501.569,0.913,0.866
40,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,-,47,143501.569,0.913,0.866
41,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,-,47,143501.569,0.913,0.866
42,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,-,47,143501.569,0.913,0.866
43,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",-,Remove high corr,42,143501.569,0.913,0.866
44,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,UFS (f-regression),35,144020.085,0.911,0.865
45,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,UFS (f-regression),35,144020.085,0.911,0.865
46,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,UFS (f-regression),35,144020.085,0.911,0.865
