,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
35,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,UFS (f-regression),30,150205.997,0.937,0.853
36,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,UFS (f-regression),30,150351.355,0.937,0.853
37,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,UFS (f-regression),30,150330.28,0.937,0.853
38,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,UFS (f-regression),35,133019.663,0.954,0.885
39,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,UFS (f-regression),35,133297.968,0.954,0.884
40,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,UFS (f-regression),35,133184.391,0.954,0.885
41,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,UFS (f-regression),40,131917.602,0.958,0.887
42,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,UFS (f-regression),40,132032.958,0.958,0.887
43,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,UFS (f-regression),40,131977.485,0.958,0.887
44,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",StandardScaler,Remove high corr,42,135626.192,0.958,0.88
45,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",MinMaxScaler,Remove high corr,42,135634.411,0.958,0.88
46,GradientBoostingRegressor,"n_estimators=500, learning_rate=0.2, max_depth=3, min_samples_split=3",RobustScaler,Remove high corr,42,135620.94,0.958,0.88
