,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
35,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",MinMaxScaler,UFS (f-regression),15,204520.351,0.724,0.728
36,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",MinMaxScaler,Variance threshold,19,207669.959,0.696,0.719
37,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",MinMaxScaler,UFS (f-regression),10,207820.565,0.716,0.719
38,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",RobustScaler,UFS (f-regression),10,208797.697,0.723,0.716
39,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",StandardScaler,UFS (f-regression),10,209567.765,0.724,0.714
40,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",RobustScaler,UFS (f-regression),20,209834.689,0.721,0.713
41,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",StandardScaler,Variance threshold,16,210480.76,0.699,0.712
42,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",RobustScaler,UFS (f-regression),15,213820.435,0.709,0.702
43,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",MinMaxScaler,Variance threshold,16,215122.852,0.67,0.699
44,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",MinMaxScaler,Variance threshold,18,236502.733,0.64,0.636
45,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",-,-,47,261012.962,0.536,0.557
46,MLPRegressor,"hidden_layer_sizes=7, batch_size=128, learning_rate=0.1, max_iter=1000",MinMaxScaler,UFS (f-regression),35,663323.227,-2.115,-1.864
