,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
35,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",StandardScaler,Variance threshold,18,155552.383,0.949,0.843
36,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",RobustScaler,Variance threshold,18,155984.472,0.948,0.842
37,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",MinMaxScaler,Variance threshold,18,156032.792,0.948,0.842
38,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",StandardScaler,UFS (f-regression),15,161027.346,0.933,0.831
39,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",StandardScaler,Variance threshold,16,161030.694,0.942,0.831
40,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",RobustScaler,Variance threshold,16,161079.232,0.942,0.831
41,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",MinMaxScaler,Variance threshold,16,161600.022,0.942,0.83
42,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",MinMaxScaler,UFS (f-regression),15,161707.253,0.933,0.83
43,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",RobustScaler,UFS (f-regression),15,162370.302,0.934,0.828
44,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",MinMaxScaler,UFS (f-regression),10,164343.334,0.929,0.824
45,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",StandardScaler,UFS (f-regression),10,165006.185,0.93,0.823
46,VotingRegressor,"('XGBRegressor', 'GradientBoostingRegressor', 'AdaBoostRegressor')",RobustScaler,UFS (f-regression),10,166987.294,0.93,0.819
