Unnamed: 0,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
9,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",MinMaxScaler,Variance threshold,27,216941.085,0.776,0.694
8,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",StandardScaler,Variance threshold,27,216943.796,0.776,0.694
5,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",StandardScaler,Variance threshold,31,216943.796,0.776,0.694
11,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",StandardScaler,Variance threshold,25,216943.796,0.776,0.694
6,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",MinMaxScaler,Variance threshold,31,216944.056,0.776,0.694
13,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",RobustScaler,Variance threshold,25,216950.227,0.776,0.694
7,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",RobustScaler,Variance threshold,31,216955.764,0.776,0.694
22,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",RobustScaler,Variance threshold,16,217853.643,0.767,0.691
20,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",StandardScaler,Variance threshold,16,217914.063,0.767,0.691
21,DecisionTreeRegressor,"max_depth=10, min_samples_split=20, min_samples_leaf=15",MinMaxScaler,Variance threshold,16,217926.344,0.767,0.691
