,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
37,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,UFS (f-regression),25,156002.938,0.961,0.842
38,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,UFS (f-regression),25,156400.946,0.944,0.841
39,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,Variance threshold,19,157202.806,0.973,0.839
40,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,Variance threshold,24,157338.003,0.974,0.839
41,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,Variance threshold,24,157402.222,0.973,0.839
42,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,UFS (f-regression),20,157539.603,0.941,0.838
43,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,UFS (f-regression),20,157570.814,0.941,0.838
44,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,UFS (f-regression),20,157697.309,0.96,0.838
45,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,UFS (f-regression),25,157757.97,0.961,0.838
46,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,Variance threshold,24,157901.455,0.955,0.838
47,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,Variance threshold,19,157914.236,0.956,0.838
48,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,UFS (f-regression),20,157928.288,0.943,0.838
49,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,Variance threshold,26,157932.652,0.956,0.838
