,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
79,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),25,166705.665,0.92,0.819
81,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),25,166773.683,0.92,0.819
126,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),25,167445.034,0.921,0.818
127,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),25,167486.538,0.921,0.817
128,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),25,167533.375,0.921,0.817
77,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),20,167919.578,0.919,0.816
76,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),20,167928.692,0.919,0.816
78,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),20,167984.821,0.919,0.816
123,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),20,168548.644,0.919,0.815
124,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),20,168574.574,0.919,0.815
125,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),20,168610.4,0.919,0.815
2,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,-,47,169193.14,0.88,0.814
41,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,UFS (f-regression),40,170716.625,0.876,0.81
42,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,UFS (f-regression),40,170751.78,0.876,0.81
43,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,UFS (f-regression),40,170764.786,0.875,0.81
1,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,-,47,170998.265,0.875,0.81
46,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,Remove high corr,42,171519.618,0.876,0.809
45,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,Remove high corr,42,171614.639,0.874,0.808
3,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,-,47,171814.216,0.876,0.808
4,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",-,Remove high corr,42,171814.216,0.876,0.808
0,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",-,-,47,171973.474,0.875,0.808
44,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,Remove high corr,42,173106.575,0.873,0.805
120,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),15,174406.162,0.909,0.802
121,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),15,174480.957,0.909,0.802
122,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),15,174491.268,0.909,0.802
73,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),15,174577.089,0.908,0.802
74,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),15,174639.372,0.908,0.802
75,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),15,174671.571,0.908,0.801
39,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",MinMaxScaler,UFS (f-regression),35,177529.486,0.857,0.795
